2022-11-09T12:08:02.504015,450994;0000.065;0051.45;61;14.360;00865;0000.00;017;13702;00011;0;
2022-11-09T12:09:02.425573,450994;0000.000;0051.45;00;-9.999;16173;0000.00;017;13727;00000;0;
2022-11-09T12:10:02.491655,450994;0000.080;0051.45;61;14.327;00670;0000.00;017;13712;00018;0;
2022-11-09T12:11:02.430234,450994;0000.000;0051.45;00;-9.999;16134;0000.00;017;13708;00000;0;
2022-11-09T12:12:02.431359,450994;0000.000;0051.45;00;-9.999;18719;0000.00;017;13531;00000;0;
2022-11-09T12:13:02.416881,450994;0000.000;0051.45;00;-9.999;19743;0000.00;017;13663;00000;0;
2022-11-09T12:14:02.420292,450994;0000.000;0051.45;00;-9.999;19366;0000.00;016;13679;00000;0;
2022-11-09T12:15:02.422762,450994;0000.000;0051.45;00;-9.999;19873;0000.00;016;13840;00000;0;
2022-11-09T12:16:02.425192,450994;0000.000;0051.45;00;-9.999;18444;0000.00;016;13706;00000;0;
2022-11-09T12:17:02.475832,450994;0000.048;0051.45;61;11.498;01449;0000.00;016;13658;00010;0;
2022-11-09T12:18:02.414148,450994;0000.000;0051.45;00;-9.999;08189;0000.00;016;13619;00000;0;
2022-11-09T12:19:02.545284,450994;0000.090;0051.46;61;15.458;00585;0000.00;016;13506;00018;0;
2022-11-09T12:20:02.468774,450994;0000.119;0051.46;61;16.213;00483;0000.00;016;13671;00024;0;
2022-11-09T12:21:02.408167,450994;0000.000;0051.46;00;-9.999;09175;0000.00;016;13835;00000;0;
2022-11-09T12:22:02.417739,450994;0000.000;0051.46;00;-9.999;17835;0000.00;016;13583;00000;0;
2022-11-09T12:23:02.485210,450994;0000.000;0051.46;00;-9.999;20000;0000.00;016;13804;00000;0;
2022-11-09T12:24:02.392831,450994;0000.000;0051.46;00;-9.999;20000;0000.00;016;13770;00000;0;
2022-11-09T12:25:02.473255,450994;0000.186;0051.46;61;18.420;00315;0000.01;016;13744;00032;0;
2022-11-09T12:26:02.476458,450994;0000.225;0051.47;61;19.666;00253;0000.01;016;13845;00036;0;
2022-11-09T12:27:02.543692,450994;0000.070;0051.47;61;14.062;00688;0000.00;016;13810;00013;0;
2022-11-09T12:28:02.465859,450994;0000.176;0051.47;61;18.271;00307;0000.01;016;13603;00033;0;
2022-11-09T12:46:02.465498,450994;0000.000;0051.48;00;-9.999;20000;0000.00;015;13897;00000;0;
2022-11-09T12:46:02.849505,90:-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;-9.999;
2022-11-09T12:46:05.334881,93:000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
2022-11-09T12:46:05.430228,95:0.00;0.00;0.00;0.00;0.00;0.00;0.00;
2022-11-09T12:47:02.479912,450994;0000.000;0051.48;00;-9.999;20000;0000.00;015;13902;00000;0;
2022-11-09T12:48:02.422103,450994;0000.000;0051.48;00;-9.999;20000;0000.00;015;13904;00000;0;
