timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-25T00:39:00.409364;00.581;00.855
2023-02-25T00:50:00.118709;00.505;01.773
2023-02-25T00:58:00.914226;00.798;01.885
2023-02-25T01:05:00.743821;00.504;00.528
2023-02-25T01:37:00.888653;00.507;02.537
2023-02-25T01:39:00.835579;00.426;00.925
2023-02-25T01:46:00.650941;00.479;01.014
2023-02-25T01:50:00.544108;00.391;01.693
2023-02-25T02:08:00.066771;00.399;01.099
2023-02-25T02:08:00.066771;00.346;01.553
2023-02-25T02:09:00.057137;00.760;02.266
2023-02-25T02:09:00.057137;00.590;02.732
2023-02-25T02:09:00.057137;00.744;02.951
2023-02-25T02:10:00.061977;00.838;03.256
2023-02-25T02:10:00.061977;00.520;01.514
2023-02-25T02:10:00.061977;00.612;02.566
2023-02-25T02:10:00.061977;00.840;03.073
2023-02-25T02:10:00.061977;00.740;03.145
2023-02-25T02:10:00.061977;00.736;03.148
2023-02-25T02:10:00.061977;00.467;05.147
2023-02-25T02:10:00.061977;00.618;03.139
2023-02-25T02:10:00.061977;00.811;03.169
2023-02-25T02:10:00.061977;01.104;03.931
2023-02-25T02:10:00.061977;00.811;02.649
2023-02-25T02:10:00.061977;01.002;03.400
2023-02-25T02:10:00.061977;01.061;03.888
2023-02-25T02:10:00.061977;00.539;02.835
2023-02-25T02:10:00.061977;00.586;02.458
2023-02-25T02:10:00.061977;00.612;01.097
2023-02-25T02:10:00.061977;00.894;03.064
2023-02-25T02:10:00.061977;00.909;02.928
2023-02-25T02:10:00.061977;00.874;02.504
2023-02-25T02:10:00.061977;00.707;02.991
2023-02-25T02:10:00.061977;00.857;03.355
2023-02-25T02:10:00.061977;00.723;02.381
2023-02-25T02:10:00.061977;00.913;03.927
2023-02-25T02:10:00.061977;00.513;02.604
2023-02-25T02:10:00.061977;00.956;03.964
2023-02-25T02:10:00.061977;00.825;03.358
2023-02-25T02:10:00.061977;00.999;03.310
2023-02-25T02:10:00.061977;00.849;02.910
2023-02-25T02:10:00.061977;01.045;03.995
2023-02-25T02:10:00.061977;01.022;04.381
2023-02-25T02:10:00.061977;00.883;03.404
2023-02-25T02:10:00.061977;00.559;03.071
2023-02-25T02:10:00.061977;00.963;03.020
2023-02-25T02:10:00.061977;00.922;03.742
2023-02-25T02:10:00.061977;00.731;03.534
2023-02-25T02:10:00.061977;00.931;03.351
2023-02-25T02:10:00.061977;00.668;02.867
2023-02-25T02:10:00.061977;00.963;03.405
2023-02-25T02:10:00.061977;00.786;03.615
2023-02-25T02:10:00.061977;00.450;05.636
2023-02-25T02:10:00.061977;00.591;02.501
2023-02-25T02:10:00.061977;00.627;02.064
2023-02-25T02:10:00.061977;00.511;01.029
2023-02-25T02:10:00.061977;00.553;02.337
2023-02-25T02:10:00.061977;00.474;01.543
2023-02-25T02:10:00.061977;00.593;01.829
2023-02-25T02:10:00.061977;00.647;02.780
2023-02-25T02:10:00.061977;00.446;00.498
2023-02-25T02:10:00.061977;00.594;02.619
2023-02-25T02:10:00.061977;00.477;02.592
2023-02-25T02:10:00.061977;00.351;02.801
2023-02-25T02:10:00.061977;00.668;02.375
2023-02-25T02:11:00.549547;00.576;02.330
2023-02-25T02:11:00.549547;00.505;02.271
2023-02-25T02:11:00.549547;00.501;01.731
2023-02-25T02:11:00.549547;00.491;02.013
2023-02-25T02:11:00.549547;00.494;00.563
2023-02-25T02:11:00.549547;00.459;03.007
2023-02-25T02:11:00.549547;00.690;02.570
2023-02-25T02:11:00.549547;00.757;01.540
2023-02-25T02:11:00.549547;00.494;00.535
2023-02-25T02:11:00.549547;00.544;01.264
2023-02-25T02:11:00.549547;00.484;00.521
2023-02-25T02:11:00.549547;00.890;03.163
2023-02-25T02:11:00.549547;00.532;01.609
2023-02-25T02:11:00.549547;00.736;02.039
2023-02-25T02:11:00.549547;00.582;02.081
2023-02-25T02:11:00.549547;00.714;01.732
2023-02-25T02:11:00.549547;00.520;01.701
2023-02-25T02:11:00.549547;00.770;01.994
2023-02-25T02:11:00.549547;00.640;03.099
2023-02-25T02:11:00.549547;00.529;01.913
2023-02-25T02:11:00.549547;00.559;02.443
2023-02-25T02:11:00.549547;00.781;03.349
2023-02-25T02:11:00.549547;00.785;02.185
2023-02-25T02:11:00.549547;00.723;02.592
2023-02-25T02:11:00.549547;00.897;02.693
2023-02-25T02:11:00.549547;00.770;02.527
2023-02-25T02:11:00.549547;00.798;01.833
2023-02-25T02:11:00.549547;00.636;02.157
2023-02-25T02:11:00.549547;00.565;01.469
2023-02-25T02:11:00.549547;00.641;02.486
2023-02-25T02:11:00.549547;00.606;01.482
2023-02-25T02:11:00.549547;00.638;01.534
2023-02-25T02:11:00.549547;00.494;01.103
2023-02-25T02:11:00.549547;00.642;02.484
2023-02-25T02:11:00.549547;00.976;03.629
2023-02-25T02:11:00.549547;00.504;02.175
2023-02-25T02:11:00.549547;00.601;02.001
2023-02-25T02:11:00.549547;00.465;01.998
2023-02-25T02:11:00.549547;00.574;02.171
2023-02-25T02:11:00.549547;00.411;00.807
2023-02-25T02:11:00.549547;00.548;00.408
2023-02-25T02:11:00.549547;00.730;02.185
2023-02-25T02:11:00.549547;00.449;01.806
2023-02-25T02:11:00.549547;00.514;01.642
2023-02-25T02:11:00.549547;00.703;02.851
2023-02-25T02:11:00.549547;00.435;01.485
2023-02-25T02:11:00.549547;00.585;01.980
2023-02-25T02:11:00.549547;00.768;02.056
2023-02-25T02:11:00.549547;00.913;02.666
2023-02-25T02:11:00.549547;00.663;01.857
2023-02-25T02:11:00.549547;00.925;02.641
2023-02-25T02:11:00.549547;00.431;01.004
2023-02-25T02:11:00.549547;00.796;03.564
2023-02-25T02:11:00.549547;00.603;02.693
2023-02-25T02:11:00.549547;00.641;02.406
2023-02-25T02:11:00.549547;00.504;01.503
