timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-23T16:56:00.765872;00.633;01.635
2023-02-23T16:56:00.765872;00.540;01.374
2023-02-23T16:56:00.765872;00.479;01.241
2023-02-23T16:56:00.765872;00.822;02.045
2023-02-23T16:56:00.765872;00.567;00.380
2023-02-23T16:56:00.765872;00.573;03.866
2023-02-23T16:56:00.765872;00.845;03.092
2023-02-23T16:56:00.765872;00.528;01.933
2023-02-23T16:56:00.765872;00.995;03.682
2023-02-23T16:56:00.765872;00.937;04.074
2023-02-23T16:56:00.765872;00.585;01.820
2023-02-23T16:56:00.765872;00.546;01.046
2023-02-23T16:56:00.765872;00.597;01.770
2023-02-23T16:56:00.765872;00.596;02.120
2023-02-23T16:56:00.765872;00.555;02.270
2023-02-23T16:56:00.765872;00.632;01.984
2023-02-23T16:56:00.765872;00.647;02.064
2023-02-23T16:56:00.765872;00.565;01.988
2023-02-23T16:56:00.765872;00.397;02.045
2023-02-23T16:56:00.765872;01.339;04.850
2023-02-23T16:56:00.765872;00.506;01.797
2023-02-23T16:56:00.765872;00.712;03.428
2023-02-23T16:56:00.765872;00.451;01.573
2023-02-23T16:56:00.765872;00.803;03.566
2023-02-23T16:56:00.765872;00.486;01.611
2023-02-23T16:56:00.765872;00.697;01.429
2023-02-23T16:56:00.765872;00.542;01.944
2023-02-23T16:56:00.765872;00.828;03.139
2023-02-23T16:56:00.765872;00.858;02.615
2023-02-23T16:56:00.765872;00.573;02.150
2023-02-23T16:56:00.765872;01.048;03.736
2023-02-23T16:56:00.765872;00.634;02.825
2023-02-23T16:56:00.765872;00.662;02.274
2023-02-23T16:56:00.765872;00.575;00.716
2023-02-23T16:56:00.765872;01.291;04.613
2023-02-23T16:56:00.765872;00.516;01.893
2023-02-23T16:56:00.765872;01.021;03.418
2023-02-23T16:56:00.765872;00.816;02.751
2023-02-23T16:56:00.765872;01.037;02.747
2023-02-23T16:56:00.765872;00.683;01.934
2023-02-23T16:56:00.765872;00.531;02.173
2023-02-23T16:56:00.765872;00.563;02.485
2023-02-23T16:56:00.765872;00.539;02.194
