timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulated 16bit (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-25T00:19:00.940520;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12903;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:17:00;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:20:00.914486;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12904;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:18:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:21:00.888516;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12910;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:19:00;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:22:00.860748;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12903;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:20:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:23:00.834806;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12895;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:21:00;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:24:00.807655;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12906;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:22:00;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:25:00.780200;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12906;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:23:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:26:00.753028;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12882;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:24:00;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:27:00.727503;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12913;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:25:00;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:28:00.701137;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12912;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:26:00;25.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:29:00.674920;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12893;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:27:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:30:00.648124;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12889;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:28:00;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:31:00.622362;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12892;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:28:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:32:00.595016;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12896;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:29:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:33:00.567747;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12906;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:30:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:34:00.541687;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12897;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:31:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:35:00.515345;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12891;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:32:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:36:00.489363;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12886;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:33:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:37:00.462817;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12893;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:34:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:38:00.435819;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12896;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:35:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:39:00.409364;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12895;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:36:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000001
2023-02-25T00:40:00.383979;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12876;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:37:59;25.02.2023;GV;008;0003.69;000;018;010;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:41:00.358002;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12883;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:38:59;25.02.2023;GV;008;0003.69;000;018;011;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:42:00.331079;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12887;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:39:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:43:00.304678;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12885;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:40:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:44:00.276877;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12868;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:41:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:45:00.251272;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12867;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:42:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:46:00.224124;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12892;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:43:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:47:00.198316;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12891;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:44:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T00:48:00.172079;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12902;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;00:45:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
