timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulate (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-23T16:55:00.228456;0000.642;0000.00;61;62;  -RA;  R-;20.404;09016;00013;12970;00056;006;450994;2.11.6;2.11.1;2.00;24.2;0;16:52:59;23.02.2023;GV;008;0000.00;000;020;009;009;00.642;0000.6;0000.00;20.40;0003.25;0000.00;00000057
2023-02-23T16:56:00.765872;0001.892;0000.03;61;62;  -RA;  R-;26.131;04474;00061;12949;00525;006;450994;2.11.6;2.11.1;2.00;24.2;0;16:53:59;23.02.2023;GV;008;0000.03;000;020;010;010;01.892;0001.9;0000.03;26.13;0011.52;0000.00;00000531
2023-02-23T16:57:00.383078;0001.702;0000.06;61;62;  -RA;  R-;24.027;03810;00060;12973;00663;005;450994;2.11.6;2.11.1;2.00;24.2;0;16:54:59;23.02.2023;GV;008;0000.06;000;020;009;009;01.702;0001.7;0000.06;24.02;0007.37;0000.00;00000667
2023-02-23T16:58:00.170121;0002.320;0000.10;57;58;-RADZ; RL-;24.852;02805;00060;12974;00892;005;450994;2.11.6;2.11.1;2.00;24.2;0;16:55:59;23.02.2023;GV;008;0000.10;000;020;010;010;02.320;0002.3;0000.10;24.85;0009.40;0000.00;00000899
