2022-11-10T13:43:05.734414;"b'04.760;00.331\r\n'"
2022-11-10T13:44:06.194609;"b'01.899;00.437\r\n'"
2022-11-10T13:44:06.194609;"b'04.794;00.268\r\n'"
2022-11-10T13:44:06.194609;"b'04.506;00.294\r\n'"
2022-11-10T13:44:06.194609;"b'02.762;00.360\r\n'"
2022-11-10T13:44:06.194609;"b'04.899;00.445\r\n'"
2022-11-10T13:44:06.194609;"b'04.338;00.284\r\n'"
2022-11-10T13:44:06.194609;"b'04.730;00.355\r\n'"
2022-11-10T13:44:06.194609;"b'04.503;00.304\r\n'"
2022-11-10T13:44:06.194609;"b'03.188;00.475\r\n'"
2022-11-10T13:44:06.194609;"b'04.442;00.360\r\n'"
2022-11-10T13:44:06.194609;"b'04.389;00.293\r\n'"
2022-11-10T13:44:06.194609;"b'02.524;00.548\r\n'"
2022-11-10T13:44:06.194609;"b'04.610;00.286\r\n'"
2022-11-10T13:44:06.194609;"b'04.313;00.293\r\n'"
2022-11-10T13:44:06.194609;"b'02.037;00.251\r\n'"
2022-11-10T13:44:06.194609;"b'04.478;00.444\r\n'"
2022-11-10T13:44:06.194609;"b'01.510;00.335\r\n'"
2022-11-10T13:45:05.822614;"b'04.593;00.442\r\n'"
2022-11-10T13:45:05.822614;"b'03.869;00.466\r\n'"
2022-11-10T13:45:05.822614;"b'04.716;00.359\r\n'"
2022-11-10T13:45:05.822614;"b'03.599;00.335\r\n'"
2022-11-10T13:45:05.822614;"b'03.990;00.469\r\n'"
2022-11-10T13:45:05.822614;"b'04.557;00.417\r\n'"
2022-11-10T13:46:05.851732;"b'02.079;00.424\r\n'"
2022-11-10T13:46:05.851732;"b'02.699;00.326\r\n'"
2022-11-10T13:46:05.851732;"b'04.671;00.374\r\n'"
2022-11-10T13:46:05.851732;"b'01.512;00.187\r\n'"
2022-11-10T13:46:05.851732;"b'03.572;00.472\r\n'"
2022-11-10T13:46:05.851732;"b'03.022;00.475\r\n'"
2022-11-10T13:46:05.851732;"b'04.705;00.388\r\n'"
2022-11-10T13:46:05.851732;"b'01.850;00.395\r\n'"
2022-11-10T13:47:05.736098;"b'04.254;00.431\r\n'"
2022-11-10T13:52:05.837706;"b'04.349;00.408\r\n'"
2022-11-10T13:53:05.738196;"b'04.543;00.400\r\n'"
2022-11-10T13:54:05.750937;"b'01.256;00.411\r\n'"
2022-11-10T13:54:05.750937;"b'01.292;00.135\r\n'"
2022-11-10T13:54:05.750937;"b'00.543;00.310\r\n'"
