2022-11-09T12:00:02.518766,b'TYP OP4A\r\n'
2022-11-09T12:00:02.520226,b'01:0000.000\r\n'
2022-11-09T12:00:02.521292,b'02:0051.45\r\n'
2022-11-09T12:00:02.534810,b'03:00\r\n'
2022-11-09T12:00:02.535659,b'04:00\r\n'
2022-11-09T12:00:02.536291,b'05:   NP\r\n'
2022-11-09T12:00:02.550740,b'06:   C\r\n'
2022-11-09T12:00:02.551500,b'07:-9.999\r\n'
2022-11-09T12:00:02.551994,b'08:16162\r\n'
2022-11-09T12:00:02.566796,b'09:00060\r\n'
2022-11-09T12:00:02.567767,b'10:13584\r\n'
2022-11-09T12:00:02.568301,b'11:00000\r\n'
2022-11-09T12:00:02.582651,b'12:018\r\n'
2022-11-09T12:00:02.583309,b'13:450994\r\n'
2022-11-09T12:00:02.583747,b'14:2.11.6\r\n'
2022-11-09T12:00:02.598975,b'15:2.11.1\r\n'
2022-11-09T12:00:02.600944,b'16:0.50\r\n'
2022-11-09T12:00:02.615350,b'17:24.3\r\n'
2022-11-09T12:00:02.617686,b'18:0\r\n'
2022-11-09T12:00:02.619450,b'19: \r\n'
2022-11-09T12:00:02.621231,b'20:14:00:02\r\n'
2022-11-09T12:00:02.630956,b'21:09.11.2022\r\n'
2022-11-09T12:00:02.632889,b'22:DEMO\r\n'
2022-11-09T12:00:02.634590,b'23:1\r\n'
2022-11-09T12:00:02.647253,b'24:0051.45\r\n'
2022-11-09T12:00:02.649309,b'25:000\r\n'
2022-11-09T12:00:02.662678,b'26:029\r\n'
2022-11-09T12:00:02.664535,b'27:017\r\n'
2022-11-09T12:00:02.666173,b'28:017\r\n'
2022-11-09T12:00:02.679104,b'29:000.018\r\n'
2022-11-09T12:00:02.681139,b'30:00.000\r\n'
2022-11-09T12:00:02.682721,b'31:0000.0\r\n'
2022-11-09T12:00:02.694885,b'32:0051.45\r\n'
2022-11-09T12:00:02.697245,b'34:0000.00\r\n'
2022-11-09T12:00:02.711030,b'35:0000.00\r\n'
2022-11-09T12:00:02.713434,b'40:20000\r\n'
2022-11-09T12:00:02.715719,b'41:20000\r\n'
2022-11-09T12:00:02.726890,b'50:00000000\r\n'
2022-11-09T12:00:02.729161,b'51:000145\r\n'
2022-11-09T12:00:05.463100,b'97:;\r\n'
2022-11-09T12:00:05.476805,b'98:;\r\n'
2022-11-09T12:46:02.512921;b'TYP OP4A\r\n'
2022-11-09T12:46:02.514282;b'01:0000.000\r\n'
2022-11-09T12:46:02.515218;b'02:0051.48\r\n'
2022-11-09T12:46:02.528972;b'03:00\r\n'
2022-11-09T12:46:02.529828;b'04:00\r\n'
2022-11-09T12:46:02.530405;b'05:   NP\r\n'
2022-11-09T12:46:02.544980;b'06:   C\r\n'
2022-11-09T12:46:02.545803;b'07:-9.999\r\n'
2022-11-09T12:46:02.546363;b'08:20000\r\n'
2022-11-09T12:46:02.560982;b'09:00060\r\n'
2022-11-09T12:46:02.561765;b'10:13897\r\n'
2022-11-09T12:46:02.562348;b'11:00000\r\n'
2022-11-09T12:46:02.577225;b'12:015\r\n'
2022-11-09T12:46:02.578371;b'13:450994\r\n'
2022-11-09T12:46:02.592947;b'14:2.11.6\r\n'
2022-11-09T12:46:02.594109;b'15:2.11.1\r\n'
2022-11-09T12:46:02.595009;b'16:0.50\r\n'
2022-11-09T12:46:02.608947;b'17:24.3\r\n'
2022-11-09T12:46:02.609904;b'18:0\r\n'
2022-11-09T12:46:02.610616;b'19: \r\n'
2022-11-09T12:46:02.611570;b'20:14:46:02\r\n'
2022-11-09T12:46:02.625195;b'21:09.11.2022\r\n'
2022-11-09T12:46:02.626201;b'22:DEMO\r\n'
2022-11-09T12:46:02.640839;b'23:1\r\n'
2022-11-09T12:46:02.642091;b'24:0051.48\r\n'
2022-11-09T12:46:02.642900;b'25:000\r\n'
2022-11-09T12:46:02.656866;b'26:028\r\n'
2022-11-09T12:46:02.658059;b'27:016\r\n'
2022-11-09T12:46:02.658655;b'28:016\r\n'
2022-11-09T12:46:02.672847;b'29:000.008\r\n'
2022-11-09T12:46:02.673723;b'30:00.000\r\n'
2022-11-09T12:46:02.674408;b'31:0000.0\r\n'
2022-11-09T12:46:02.688918;b'32:0051.48\r\n'
2022-11-09T12:46:02.689687;b'34:0000.00\r\n'
2022-11-09T12:46:02.704877;b'35:0000.00\r\n'
2022-11-09T12:46:02.706040;b'40:03973\r\n'
2022-11-09T12:46:02.706898;b'41:20000\r\n'
2022-11-09T12:46:02.721149;b'50:00000002\r\n'
2022-11-09T12:46:02.722399;b'51:000203\r\n'
2022-11-09T12:46:05.462475;"b'97:;\r\n'"
2022-11-09T12:46:05.463508;"b'98:;\r\n'"
2022-11-09T12:46:05.464455;"b'99:;\r\n'"
